City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,hithadhoo,-0.6,73.0833,27.6,77,100,6.85,MV,1670454833
141,galle,6.0367,80.217,25.18,77,100,7.7,LK,1670454834
142,tatarsk,55.219,75.9828,-20.16,98,57,3.01,RU,1670454835
143,carauari,-4.8828,-66.8958,24.23,92,96,0.96,BR,1670454835
144,fort-shevchenko,44.5086,50.263,-4.14,61,11,6.95,KZ,1670454836
145,hilo,19.7297,-155.09,26.27,92,100,3.6,US,1670454708
146,tasiilaq,65.6145,-37.6368,-3.91,74,96,1.52,GL,1670454837
147,coahuayana,18.7333,-103.6833,28.26,68,11,2.24,MX,1670454837
148,funadhoo,6.15,73.2667,26.79,75,100,1.66,MV,1670454838
149,isiro,2.7739,27.616,19.17,93,98,0.58,CD,1670454838
150,yagodnoye,62.55,149.6667,-38.72,100,84,1.07,RU,1670454839
151,hangu,39.2489,117.7892,-1.98,30,97,2.29,CN,1670454840
152,pilas,37.3034,-6.301,14.86,75,100,3.65,ES,1670454840
153,mehamn,71.0357,27.8492,1.95,93,100,5.14,NO,1670454809
154,baykit,61.67,96.37,-13.97,91,100,3.46,RU,1670454841
155,itaqui,-29.1253,-56.5531,33.16,23,24,4.77,BR,1670454842
156,kemijarvi,66.7131,27.4306,-10.94,96,90,1.38,FI,1670454842
157,rio gallegos,-51.6226,-69.2181,10.15,54,100,6.67,AR,1670454843
158,san jeronimo,-11.9472,-75.2829,12.03,68,100,2.34,PE,1670454843
159,jovellar,13.0695,123.5999,24.13,84,97,2.34,PH,1670454844
160,messina,38.1933,15.5497,16.76,79,20,3.09,IT,1670454692
161,caravelas,-17.7125,-39.2481,23.98,89,100,1.97,BR,1670454846
162,sitka,57.0531,-135.33,5.94,81,100,5.66,US,1670454728
163,pundaguitan,6.3711,126.1689,27.08,79,100,4.1,PH,1670454847
164,puerto madero,14.7208,-92.4215,28.11,89,0,4.12,MX,1670454799
165,lorengau,-2.0226,147.2712,27.55,80,98,3.16,PG,1670454848
166,ambon,-3.6954,128.1814,26.08,83,20,2.06,ID,1670454849
167,biltine,14.5333,20.9167,19.12,20,49,6.26,TD,1670454849
168,kruisfontein,-34.0033,24.7314,17.86,76,80,4.34,ZA,1670454850
169,kodinsk,58.6881,99.1844,-12.73,90,100,5.31,RU,1670454851
170,ornskoldsvik,63.2909,18.7153,-6.47,93,100,2.06,SE,1670454852
171,codrington,-38.2667,141.9667,12.45,56,81,7.43,AU,1670454853
172,laukaa,58.7372,29.8453,-4.6,92,100,5.46,RU,1670454579
173,iberia,29.9502,-91.7507,25.04,73,0,4.12,US,1670454854
174,savannakhet,16.566,104.751,19.04,90,7,2.99,LA,1670454855
175,mana,5.6592,-53.7767,25.65,88,50,4.44,GF,1670454855
176,katsuura,35.1333,140.3,11.22,68,0,2.2,JP,1670454856
177,saskylakh,71.9167,114.0833,-33.24,99,99,2.29,RU,1670454857
178,bilibino,68.0546,166.4372,-33.99,99,51,2.09,RU,1670454858
179,necochea,-38.5473,-58.7368,20.31,77,82,7.3,AR,1670454576
180,bredasdorp,-34.5322,20.0403,16.32,90,60,1.58,ZA,1670454859
181,fortuna,40.5982,-124.1573,13.29,72,100,1.79,US,1670454860
182,beyneu,45.3167,55.2,-7.51,65,4,4.62,KZ,1670454860
183,rocha,-34.4833,-54.3333,21.16,59,0,5.49,UY,1670454861
184,muros,42.7762,-9.0603,13.94,80,100,5.16,ES,1670454733
185,ozernovskiy,51.5,156.5167,-1.6,65,100,8.38,RU,1670454862
186,iracoubo,5.4802,-53.2011,25.83,85,57,4.74,GF,1670454863
187,acapulco,16.8634,-99.8901,28.9,74,0,2.57,MX,1670454736
